"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"	"Quarter"
3	17	27.624538286323	"Transfer.area"	"Q4"
4	17	28.452218317779	"Transfer.area"	"Q4"
5	17	28.88473560792	"Transfer.area"	"Q4"
6	17	29.111711310983	"Transfer.area"	"Q4"
7	17	29.231079132567	"Transfer.area"	"Q4"
8	17	29.293925056043	"Transfer.area"	"Q4"
9	17	29.327031952592	"Transfer.area"	"Q4"
10	17	29.344477785879	"Transfer.area"	"Q4"
11	17	29.353672416655	"Transfer.area"	"Q4"
12	17	0	"Transfer.area"	"Q4"
13	17	0	"Transfer.area"	"Q4"
14	17	0	"Transfer.area"	"Q4"
15	17	29.363129623689	"Transfer.area"	"Q4"
1	18	22.472502287353	"Transfer.area"	"Q4"
2	18	25.775333310192	"Transfer.area"	"Q4"
3	18	27.41418994423	"Transfer.area"	"Q4"
4	18	28.237548448051	"Transfer.area"	"Q4"
5	18	28.653482153034	"Transfer.area"	"Q4"
6	18	28.864148475567	"Transfer.area"	"Q4"
7	18	28.970986233795	"Transfer.area"	"Q4"
8	18	29.02520300008	"Transfer.area"	"Q4"
9	18	29.052725196717	"Transfer.area"	"Q4"
10	18	29.066698648554	"Transfer.area"	"Q4"
11	18	29.073793778519	"Transfer.area"	"Q4"
12	18	0	"Transfer.area"	"Q4"
13	18	0	"Transfer.area"	"Q4"
14	18	0	"Transfer.area"	"Q4"
15	18	29.080626705044	"Transfer.area"	"Q4"
1	19	22.38674229155	"Transfer.area"	"Q4"
2	19	25.711326731152	"Transfer.area"	"Q4"
3	19	27.357701159851	"Transfer.area"	"Q4"
4	19	28.18250029943	"Transfer.area"	"Q4"
5	19	28.597825098871	"Transfer.area"	"Q4"
6	19	28.807468344916	"Transfer.area"	"Q4"
7	19	28.913415751909	"Transfer.area"	"Q4"
8	19	28.966990116699	"Transfer.area"	"Q4"
9	19	28.994089091804	"Transfer.area"	"Q4"
10	19	29.007798344533	"Transfer.area"	"Q4"
11	19	0	"Transfer.area"	"Q4"
12	19	29.018243599688	"Transfer.area"	"Q4"
13	19	0	"Transfer.area"	"Q4"
14	19	0	"Transfer.area"	"Q4"
15	19	29.02137209826	"Transfer.area"	"Q4"
1	20	22.110860663665	"Transfer.area"	"Q4"
2	20	25.317302095578	"Transfer.area"	"Q4"
3	20	26.95350064601	"Transfer.area"	"Q4"
4	20	27.802176502875	"Transfer.area"	"Q4"
5	20	28.245647774664	"Transfer.area"	"Q4"
6	20	28.478223542498	"Transfer.area"	"Q4"
7	20	28.600421165018	"Transfer.area"	"Q4"
8	20	28.664686076703	"Transfer.area"	"Q4"
9	20	28.69850036734	"Transfer.area"	"Q4"
10	20	28.716297062303	"Transfer.area"	"Q4"
11	20	28.725664862237	"Transfer.area"	"Q4"
12	20	28.730596225162	"Transfer.area"	"Q4"
13	20	0	"Transfer.area"	"Q4"
14	20	0	"Transfer.area"	"Q4"
15	20	28.735278445448	"Transfer.area"	"Q4"
1	21	22.221266076682	"Transfer.area"	"Q4"
2	21	25.242056510496	"Transfer.area"	"Q4"
3	21	26.790796212086	"Transfer.area"	"Q4"
4	21	27.601279804641	"Transfer.area"	"Q4"
5	21	28.029419355542	"Transfer.area"	"Q4"
6	21	28.256636796054	"Transfer.area"	"Q4"
7	21	28.377510508431	"Transfer.area"	"Q4"
8	21	28.441892204307	"Transfer.area"	"Q4"
9	21	28.476206737981	"Transfer.area"	"Q4"
10	21	28.49450226878	"Transfer.area"	"Q4"
11	21	28.50425873045	"Transfer.area"	"Q4"
12	21	28.509462073926	"Transfer.area"	"Q4"
13	21	0	"Transfer.area"	"Q4"
14	21	28.513717482191	"Transfer.area"	"Q4"
15	21	28.51450698238	"Transfer.area"	"Q4"
1	22	22.528047569603	"Transfer.area"	"Q4"
2	22	25.598755835157	"Transfer.area"	"Q4"
3	22	27.167028623759	"Transfer.area"	"Q4"
4	22	27.984103336482	"Transfer.area"	"Q4"
5	22	28.413688286696	"Transfer.area"	"Q4"
6	22	28.640560057138	"Transfer.area"	"Q4"
7	22	28.760649535565	"Transfer.area"	"Q4"
8	22	28.824291870347	"Transfer.area"	"Q4"
9	22	28.85804068863	"Transfer.area"	"Q4"
10	22	28.875943211083	"Transfer.area"	"Q4"
11	22	28.885441505952	"Transfer.area"	"Q4"
12	22	0	"Transfer.area"	"Q4"
13	22	0	"Transfer.area"	"Q4"
14	22	28.894574754847	"Transfer.area"	"Q4"
15	22	28.895327805741	"Transfer.area"	"Q4"
1	23	23.141428213063	"Transfer.area"	"Q4"
2	23	26.360724469131	"Transfer.area"	"Q4"
3	23	28.015487098932	"Transfer.area"	"Q4"
4	23	28.882826853789	"Transfer.area"	"Q4"
