"CatchDate"	"Stratum"	"LandedRoundWeight"
2023-09-03T22:00:00Z	"27.4.aE"	4141
2023-09-04T22:00:00Z	"27.4.aE"	161014
2023-09-05T22:00:00Z	"27.4.aE"	2889
2023-09-06T22:00:00Z	"27.4.aE"	35803
2023-09-07T22:00:00Z	"27.4.aE"	57878
2023-09-09T22:00:00Z	"27.4.aE"	12045
2023-09-11T22:00:00Z	"27.4.aE"	17858
2023-09-12T22:00:00Z	"27.4.aE"	13724
2023-09-14T22:00:00Z	"27.4.aE"	56727
2023-09-15T22:00:00Z	"27.4.aE"	11501
2023-09-16T22:00:00Z	"27.4.aE"	88026
2023-09-17T22:00:00Z	"27.4.aE"	31035
2023-09-18T22:00:00Z	"27.4.aE"	66
2023-09-19T22:00:00Z	"27.4.aE"	63030
2023-09-20T22:00:00Z	"27.4.aE"	2053
2023-09-21T22:00:00Z	"27.4.aE"	31840
2023-09-22T22:00:00Z	"27.4.aE"	23028
2023-09-23T22:00:00Z	"27.4.aE"	285
2023-09-24T22:00:00Z	"27.4.aE"	11029
2023-09-25T22:00:00Z	"27.4.aE"	17811
2023-09-29T22:00:00Z	"27.4.aE"	69519
2023-09-30T22:00:00Z	"27.4.aE"	606
2023-10-01T22:00:00Z	"27.4.aE"	12502
2023-10-02T22:00:00Z	"27.4.aE"	76285
2023-10-04T22:00:00Z	"27.4.aE"	31458
2023-10-06T22:00:00Z	"27.4.aE"	5330
2023-10-07T22:00:00Z	"27.4.aE"	3352
2023-10-08T22:00:00Z	"27.4.aE"	23538
2023-10-09T22:00:00Z	"27.4.aE"	530824
2023-10-10T22:00:00Z	"27.4.aE"	2391
2023-10-12T22:00:00Z	"27.4.aE"	893
2023-10-15T22:00:00Z	"27.4.aE"	53
2023-10-16T22:00:00Z	"27.4.aE"	507793
2023-10-17T22:00:00Z	"27.4.aE"	1331539
2023-10-18T22:00:00Z	"27.4.aE"	389894
2023-10-19T22:00:00Z	"27.4.aE"	68574
2023-10-21T22:00:00Z	"27.4.aE"	123963
2023-10-22T22:00:00Z	"27.4.aE"	155037
2023-10-23T22:00:00Z	"27.4.aE"	340215
2023-10-24T22:00:00Z	"27.4.aE"	213791
2023-10-25T22:00:00Z	"27.4.aE"	1422
2023-10-26T22:00:00Z	"27.4.aE"	45154
2023-10-28T22:00:00Z	"27.4.aE"	179
2023-10-29T23:00:00Z	"27.4.aE"	187
2023-10-30T23:00:00Z	"27.4.aE"	179120
2023-11-01T23:00:00Z	"27.4.aE"	23196
2023-11-02T23:00:00Z	"27.4.aE"	3654
2023-11-06T23:00:00Z	"27.4.aE"	2825
2023-11-07T23:00:00Z	"27.4.aE"	195994
2023-11-08T23:00:00Z	"27.4.aE"	1790
2023-11-09T23:00:00Z	"27.4.aE"	10780
2023-11-10T23:00:00Z	"27.4.aE"	188296
2023-11-11T23:00:00Z	"27.4.aE"	364
2023-11-12T23:00:00Z	"27.4.aE"	24
2023-11-13T23:00:00Z	"27.4.aE"	196
2023-11-14T23:00:00Z	"27.4.aE"	350
2023-11-15T23:00:00Z	"27.4.aE"	51917
2023-11-16T23:00:00Z	"27.4.aE"	62328
2023-11-19T23:00:00Z	"27.4.aE"	35
2023-11-20T23:00:00Z	"27.4.aE"	52212
2023-11-21T23:00:00Z	"27.4.aE"	20
2023-11-26T23:00:00Z	"27.4.aE"	47
2023-11-27T23:00:00Z	"27.4.aE"	510407
2023-11-28T23:00:00Z	"27.4.aE"	904581
2023-11-30T23:00:00Z	"27.4.aE"	363171
2023-12-01T23:00:00Z	"27.4.aE"	835500
2023-12-02T23:00:00Z	"27.4.aE"	502423
2023-12-03T23:00:00Z	"27.4.aE"	856231
2023-12-05T23:00:00Z	"27.4.aE"	108677
2023-12-12T23:00:00Z	"27.4.aE"	128182
2023-12-18T23:00:00Z	"27.4.aE"	11680
2023-01-02T23:00:00Z	"27.4.aW"	120094
2023-04-21T22:00:00Z	"27.4.aW"	1266
2023-05-25T22:00:00Z	"27.4.aW"	55911
2023-08-05T22:00:00Z	"27.4.aW"	120000
2023-08-06T22:00:00Z	"27.4.aW"	570604
2023-08-07T22:00:00Z	"27.4.aW"	328142
2023-08-09T22:00:00Z	"27.4.aW"	376792
2023-08-10T22:00:00Z	"27.4.aW"	514028
2023-08-11T22:00:00Z	"27.4.aW"	1152386
2023-08-12T22:00:00Z	"27.4.aW"	1098978
2023-08-13T22:00:00Z	"27.4.aW"	249450
2023-08-14T22:00:00Z	"27.4.aW"	470858
2023-08-15T22:00:00Z	"27.4.aW"	248806
2023-08-16T22:00:00Z	"27.4.aW"	1638343
2023-08-17T22:00:00Z	"27.4.aW"	843718
2023-08-18T22:00:00Z	"27.4.aW"	463674
2023-08-19T22:00:00Z	"27.4.aW"	403350
2023-08-21T22:00:00Z	"27.4.aW"	1234912
2023-08-22T22:00:00Z	"27.4.aW"	1274322
2023-08-23T22:00:00Z	"27.4.aW"	913349
2023-08-24T22:00:00Z	"27.4.aW"	259677
2023-09-05T22:00:00Z	"27.4.aW"	41935
2023-09-06T22:00:00Z	"27.4.aW"	814
2023-09-07T22:00:00Z	"27.4.aW"	1391
2023-09-08T22:00:00Z	"27.4.aW"	152360
2023-09-09T22:00:00Z	"27.4.aW"	3795
2023-09-10T22:00:00Z	"27.4.aW"	12570
2023-09-11T22:00:00Z	"27.4.aW"	250
2023-09-12T22:00:00Z	"27.4.aW"	75813
2023-09-13T22:00:00Z	"27.4.aW"	11686
2023-09-14T22:00:00Z	"27.4.aW"	24957
2023-09-15T22:00:00Z	"27.4.aW"	19361
2023-09-16T22:00:00Z	"27.4.aW"	165445
2023-09-17T22:00:00Z	"27.4.aW"	12467
2023-09-18T22:00:00Z	"27.4.aW"	3385
2023-09-19T22:00:00Z	"27.4.aW"	1437
2023-09-21T22:00:00Z	"27.4.aW"	1838
2023-09-22T22:00:00Z	"27.4.aW"	21955
2023-09-23T22:00:00Z	"27.4.aW"	2912
2023-09-26T22:00:00Z	"27.4.aW"	12621
2023-09-27T22:00:00Z	"27.4.aW"	21547
2023-09-28T22:00:00Z	"27.4.aW"	1100
2023-09-29T22:00:00Z	"27.4.aW"	14316
2023-09-30T22:00:00Z	"27.4.aW"	78921
2023-10-01T22:00:00Z	"27.4.aW"	26991
2023-10-02T22:00:00Z	"27.4.aW"	190667
2023-10-03T22:00:00Z	"27.4.aW"	15338
2023-10-04T22:00:00Z	"27.4.aW"	46131
2023-10-05T22:00:00Z	"27.4.aW"	9782
2023-10-06T22:00:00Z	"27.4.aW"	11084
2023-10-07T22:00:00Z	"27.4.aW"	156975
2023-10-08T22:00:00Z	"27.4.aW"	62613
2023-10-09T22:00:00Z	"27.4.aW"	79440
2023-10-11T22:00:00Z	"27.4.aW"	3087
2023-10-12T22:00:00Z	"27.4.aW"	13365
2023-10-14T22:00:00Z	"27.4.aW"	7537
2023-10-15T22:00:00Z	"27.4.aW"	94304
2023-10-16T22:00:00Z	"27.4.aW"	45483
2023-10-17T22:00:00Z	"27.4.aW"	19534
2023-10-19T22:00:00Z	"27.4.aW"	13541
2023-10-20T22:00:00Z	"27.4.aW"	473
2023-10-21T22:00:00Z	"27.4.aW"	26831
2023-10-22T22:00:00Z	"27.4.aW"	16553
2023-11-05T23:00:00Z	"27.4.aW"	46349
2023-11-08T23:00:00Z	"27.4.aW"	386928
2023-11-09T23:00:00Z	"27.4.aW"	356167
2023-11-10T23:00:00Z	"27.4.aW"	862036
2023-11-11T23:00:00Z	"27.4.aW"	714508
2023-11-12T23:00:00Z	"27.4.aW"	352458
2023-11-13T23:00:00Z	"27.4.aW"	161540
2023-11-14T23:00:00Z	"27.4.aW"	1002148
2023-11-15T23:00:00Z	"27.4.aW"	184631
2023-11-16T23:00:00Z	"27.4.aW"	305861
2023-11-17T23:00:00Z	"27.4.aW"	713641
2023-11-20T23:00:00Z	"27.4.aW"	5213
2023-11-27T23:00:00Z	"27.4.aW"	126184
2023-12-03T23:00:00Z	"27.4.aW"	179773
2023-04-17T22:00:00Z	"27.4.b"	290
2023-04-18T22:00:00Z	"27.4.b"	1284
