"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-Quarter:Q2:Age:5 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:5 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:5 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:5 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:6 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:6 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:6 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:6 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:7 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:7 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:7 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:7 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:8 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:8 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
