"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
5	21	29.011124569465	"27.4.aE"	"Q4"
6	21	29.554405478675	"27.4.aE"	"Q4"
7	21	30.032390389055	"27.4.aE"	"Q4"
8	21	30.459841956781	"27.4.aE"	"Q4"
9	21	30.84695453615	"27.4.aE"	"Q4"
10	21	31.201075287299	"27.4.aE"	"Q4"
11	21	31.527681411279	"27.4.aE"	"Q4"
12	21	31.830969589219	"27.4.aE"	"Q4"
13	21	32.114229189531	"27.4.aE"	"Q4"
14	21	32.380088176376	"27.4.aE"	"Q4"
15	21	32.630680637926	"27.4.aE"	"Q4"
1	22	24.910342570522	"27.4.aE"	"Q4"
2	22	26.170973697152	"27.4.aE"	"Q4"
3	22	27.094058316298	"27.4.aE"	"Q4"
4	22	27.828250879202	"27.4.aE"	"Q4"
5	22	28.440705163101	"27.4.aE"	"Q4"
6	22	28.967754814806	"27.4.aE"	"Q4"
7	22	29.431376502863	"27.4.aE"	"Q4"
8	22	29.845918793196	"27.4.aE"	"Q4"
9	22	30.221288509577	"27.4.aE"	"Q4"
10	22	30.564624581599	"27.4.aE"	"Q4"
11	22	30.881248307026	"27.4.aE"	"Q4"
12	22	31.175236447413	"27.4.aE"	"Q4"
13	22	31.449784044851	"27.4.aE"	"Q4"
14	22	31.707443458683	"27.4.aE"	"Q4"
15	22	31.950287196377	"27.4.aE"	"Q4"
1	23	24.344630348382	"27.4.aE"	"Q4"
2	23	25.573456242807	"27.4.aE"	"Q4"
3	23	26.473156924089	"27.4.aE"	"Q4"
4	23	27.188695441896	"27.4.aE"	"Q4"
5	23	27.785552364874	"27.4.aE"	"Q4"
6	23	28.299153740606	"27.4.aE"	"Q4"
7	23	28.750926139654	"27.4.aE"	"Q4"
8	23	29.154858347215	"27.4.aE"	"Q4"
9	23	29.520608408503	"27.4.aE"	"Q4"
10	23	29.855135745244	"27.4.aE"	"Q4"
11	23	30.163627693952	"27.4.aE"	"Q4"
12	23	30.450058276233	"27.4.aE"	"Q4"
13	23	30.717541936468	"27.4.aE"	"Q4"
14	23	30.968566590924	"27.4.aE"	"Q4"
15	23	31.205152376164	"27.4.aE"	"Q4"
1	24	24.117059938709	"27.4.aE"	"Q4"
2	24	25.338819694135	"27.4.aE"	"Q4"
3	24	26.233479329554	"27.4.aE"	"Q4"
4	24	26.945085773378	"27.4.aE"	"Q4"
5	24	27.538713650319	"27.4.aE"	"Q4"
6	24	28.049572607142	"27.4.aE"	"Q4"
7	24	28.498959907578	"27.4.aE"	"Q4"
8	24	28.900780784395	"27.4.aE"	"Q4"
9	24	29.264636115962	"27.4.aE"	"Q4"
10	24	29.597444460441	"27.4.aE"	"Q4"
11	24	29.904362916037	"27.4.aE"	"Q4"
12	24	30.189342491465	"27.4.aE"	"Q4"
13	24	30.45547970524	"27.4.aE"	"Q4"
14	24	30.70524823433	"27.4.aE"	"Q4"
15	24	30.940656713818	"27.4.aE"	"Q4"
1	25	24.613095262036	"27.4.aE"	"Q4"
2	25	25.839474714337	"27.4.aE"	"Q4"
3	25	26.736912502628	"27.4.aE"	"Q4"
4	25	27.45037702751	"27.4.aE"	"Q4"
5	25	28.045323176162	"27.4.aE"	"Q4"
6	25	28.557151610395	"27.4.aE"	"Q4"
7	25	29.007267920317	"27.4.aE"	"Q4"
8	25	29.409644098485	"27.4.aE"	"Q4"
9	25	29.773924747088	"27.4.aE"	"Q4"
10	25	30.107058425654	"27.4.aE"	"Q4"
11	25	30.414223590226	"27.4.aE"	"Q4"
12	25	30.699386915242	"27.4.aE"	"Q4"
13	25	30.965656697668	"27.4.aE"	"Q4"
14	25	31.215515656602	"27.4.aE"	"Q4"
15	25	31.450979493102	"27.4.aE"	"Q4"
1	26	25.116851581945	"27.4.aE"	"Q4"
2	26	26.380146673208	"27.4.aE"	"Q4"
3	26	27.304950200884	"27.4.aE"	"Q4"
4	26	28.040375119638	"27.4.aE"	"Q4"
5	26	28.653768548749	"27.4.aE"	"Q4"
6	26	29.181563104034	"27.4.aE"	"Q4"
7	26	29.645792554649	"27.4.aE"	"Q4"
8	26	30.060841228144	"27.4.aE"	"Q4"
9	26	30.43663973168	"27.4.aE"	"Q4"
10	26	30.780343556184	"27.4.aE"	"Q4"
11	26	31.097285959034	"27.4.aE"	"Q4"
12	26	31.391552597201	"27.4.aE"	"Q4"
13	26	31.666345293024	"27.4.aE"	"Q4"
14	26	31.924221681545	"27.4.aE"	"Q4"
15	26	32.167258448212	"27.4.aE"	"Q4"
1	27	24.732068500441	"27.4.aE"	"Q4"
2	27	25.99562556065	"27.4.aE"	"Q4"
3	27	26.921213840411	"27.4.aE"	"Q4"
4	27	27.657607949208	"27.4.aE"	"Q4"
5	27	28.272037372199	"27.4.aE"	"Q4"
6	27	28.800885487859	"27.4.aE"	"Q4"
7	27	29.266163341582	"27.4.aE"	"Q4"
8	27	29.682244308422	"27.4.aE"	"Q4"
9	27	30.059053754594	"27.4.aE"	"Q4"
10	27	30.403744870113	"27.4.aE"	"Q4"
11	27	30.721650182011	"27.4.aE"	"Q4"
12	27	31.016855470844	"27.4.aE"	"Q4"
13	27	31.292563145064	"27.4.aE"	"Q4"
14	27	31.551331667839	"27.4.aE"	"Q4"
15	27	31.795238667902	"27.4.aE"	"Q4"
1	28	24.065560108029	"27.4.aE"	"Q4"
2	28	25.292482326347	"27.4.aE"	"Q4"
3	28	26.191156718348	"27.4.aE"	"Q4"
4	28	26.906092908162	"27.4.aE"	"Q4"
5	28	27.502588460631	"27.4.aE"	"Q4"
6	28	28.015979341668	"27.4.aE"	"Q4"
7	28	28.46764201096	"27.4.aE"	"Q4"
8	28	28.871534944273	"27.4.aE"	"Q4"
9	28	29.237296699074	"27.4.aE"	"Q4"
10	28	29.571873569074	"27.4.aE"	"Q4"
11	28	29.880443715843	"27.4.aE"	"Q4"
12	28	30.166974555422	"27.4.aE"	"Q4"
13	28	30.434575658641	"27.4.aE"	"Q4"
14	28	30.685731271696	"27.4.aE"	"Q4"
15	28	30.922458719008	"27.4.aE"	"Q4"
1	29	24.903036309253	"27.4.aE"	"Q4"
2	29	26.233364784659	"27.4.aE"	"Q4"
3	29	27.209698806482	"27.4.aE"	"Q4"
4	29	27.987535133063	"27.4.aE"	"Q4"
5	29	28.637248890112	"27.4.aE"	"Q4"
6	29	29.196970074815	"27.4.aE"	"Q4"
7	29	29.689788097	"27.4.aE"	"Q4"
8	29	30.130792466502	"27.4.aE"	"Q4"
9	29	30.53041021857	"27.4.aE"	"Q4"
10	29	30.896160644626	"27.4.aE"	"Q4"
11	29	31.233652229119	"27.4.aE"	"Q4"
12	29	31.547184299678	"27.4.aE"	"Q4"
13	29	31.840128152573	"27.4.aE"	"Q4"
14	29	32.11517829064	"27.4.aE"	"Q4"
15	29	32.374523652405	"27.4.aE"	"Q4"
1	30	24.906787656666	"27.4.aE"	"Q4"
2	30	26.197872845071	"27.4.aE"	"Q4"
3	30	27.144196664933	"27.4.aE"	"Q4"
4	30	27.897420071452	"27.4.aE"	"Q4"
5	30	28.526110616332	"27.4.aE"	"Q4"
6	30	29.067389639022	"27.4.aE"	"Q4"
7	30	29.543721407427	"27.4.aE"	"Q4"
8	30	29.96977898355	"27.4.aE"	"Q4"
9	30	30.355696908396	"27.4.aE"	"Q4"
10	30	30.708780541702	"27.4.aE"	"Q4"
11	30	31.034476795663	"27.4.aE"	"Q4"
12	30	31.336959749367	"27.4.aE"	"Q4"
13	30	31.619501489493	"27.4.aE"	"Q4"
14	30	31.884716492544	"27.4.aE"	"Q4"
15	30	32.134728134017	"27.4.aE"	"Q4"
1	31	24.76908374181	"27.4.aE"	"Q4"
2	31	25.989279868474	"27.4.aE"	"Q4"
3	31	26.881785947283	"27.4.aE"	"Q4"
4	31	27.591093226305	"27.4.aE"	"Q4"
5	31	28.182416869771	"27.4.aE"	"Q4"
6	31	28.691017959248	"27.4.aE"	"Q4"
