"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
6	27	27.485197298301	"27.4.aE"
7	27	28.071055106149	"27.4.aE"
8	27	28.388135745846	"27.4.aE"
9	27	28.937520551078	"27.4.aE"
10	27	29.858932610832	"27.4.aE"
11	27	30.423646407604	"27.4.aE"
12	27	30.709223989465	"27.4.aE"
13	27	31.488680526299	"27.4.aE"
14	27	31.798014759765	"27.4.aE"
15	27	31.936983681244	"27.4.aE"
1	28	22.452597217732	"27.4.aE"
2	28	23.526928737085	"27.4.aE"
3	28	24.891149029734	"27.4.aE"
4	28	26.008618366572	"27.4.aE"
5	28	26.74425893358	"27.4.aE"
6	28	27.348887316481	"27.4.aE"
7	28	27.321150412135	"27.4.aE"
8	28	28.282791184352	"27.4.aE"
9	28	29.080475304304	"27.4.aE"
10	28	29.246939945312	"27.4.aE"
11	28	29.313934343398	"27.4.aE"
12	28	28.867946813323	"27.4.aE"
13	28	31.09400360288	"27.4.aE"
14	28	31.363560388693	"27.4.aE"
15	28	31.568262758269	"27.4.aE"
1	29	22.540761666664	"27.4.aE"
2	29	23.317748434968	"27.4.aE"
3	29	24.772859785293	"27.4.aE"
4	29	26.219305785586	"27.4.aE"
5	29	26.130513173265	"27.4.aE"
6	29	26.576572908094	"27.4.aE"
7	29	27.460642504403	"27.4.aE"
8	29	27.959196895945	"27.4.aE"
9	29	28.269531982957	"27.4.aE"
10	29	29.189667887776	"27.4.aE"
11	29	28.583838599751	"27.4.aE"
12	29	30.398661099201	"27.4.aE"
13	29	30.936210728694	"27.4.aE"
14	29	31.154645425168	"27.4.aE"
15	29	31.377362338786	"27.4.aE"
1	30	22.39901462485	"27.4.aE"
2	30	23.533342871378	"27.4.aE"
3	30	24.879569413464	"27.4.aE"
4	30	26.058626612314	"27.4.aE"
5	30	26.544102061853	"27.4.aE"
6	30	26.873689897372	"27.4.aE"
7	30	27.423674840612	"27.4.aE"
8	30	28.287753304329	"27.4.aE"
9	30	28.70246371911	"27.4.aE"
10	30	29.254748087443	"27.4.aE"
11	30	29.623317697484	"27.4.aE"
12	30	30.725062280298	"27.4.aE"
13	30	31.111582164767	"27.4.aE"
14	30	31.454102103063	"27.4.aE"
15	30	31.702837774718	"27.4.aE"
1	31	22.232109255049	"27.4.aE"
2	31	23.587322859479	"27.4.aE"
3	31	24.864068322818	"27.4.aE"
4	31	25.915718134369	"27.4.aE"
5	31	26.459864584866	"27.4.aE"
6	31	26.862020137432	"27.4.aE"
7	31	27.589565193322	"27.4.aE"
8	31	27.891538204678	"27.4.aE"
9	31	28.651710722013	"27.4.aE"
10	31	28.887311339993	"27.4.aE"
11	31	29.570126628556	"27.4.aE"
12	31	29.857250257394	"27.4.aE"
13	31	30.650728717086	"27.4.aE"
14	31	30.779395632609	"27.4.aE"
15	31	30.95995496316	"27.4.aE"
1	32	22.546860230011	"27.4.aE"
2	32	23.699852415298	"27.4.aE"
3	32	24.787561692591	"27.4.aE"
4	32	25.946936481977	"27.4.aE"
5	32	26.684325998739	"27.4.aE"
6	32	26.998291865538	"27.4.aE"
7	32	27.450611075988	"27.4.aE"
8	32	27.955746652401	"27.4.aE"
9	32	28.665403956171	"27.4.aE"
10	32	29.251212453693	"27.4.aE"
11	32	29.048896270966	"27.4.aE"
12	32	30.037012595482	"27.4.aE"
13	32	30.561557963862	"27.4.aE"
14	32	30.818147277736	"27.4.aE"
15	32	31.031806405549	"27.4.aE"
1	33	22.806596036905	"27.4.aE"
2	33	23.759663918349	"27.4.aE"
3	33	25.131308479032	"27.4.aE"
4	33	26.155128519735	"27.4.aE"
5	33	26.768002438448	"27.4.aE"
6	33	27.037760437822	"27.4.aE"
7	33	27.536616959928	"27.4.aE"
8	33	27.986178675653	"27.4.aE"
9	33	28.733685670868	"27.4.aE"
10	33	29.36104696187	"27.4.aE"
11	33	29.988637186253	"27.4.aE"
12	33	30.11374552966	"27.4.aE"
13	33	30.635335202308	"27.4.aE"
14	33	30.896123712021	"27.4.aE"
15	33	31.2191556923	"27.4.aE"
1	34	22.41226687972	"27.4.aE"
2	34	23.685872855903	"27.4.aE"
3	34	24.841903840999	"27.4.aE"
4	34	26.359700974776	"27.4.aE"
5	34	26.735373535429	"27.4.aE"
6	34	26.97818149825	"27.4.aE"
7	34	27.824178638241	"27.4.aE"
8	34	28.410684548634	"27.4.aE"
9	34	29.045255956252	"27.4.aE"
10	34	29.297879719839	"27.4.aE"
11	34	29.947754511604	"27.4.aE"
12	34	30.407602624827	"27.4.aE"
13	34	31.00602667447	"27.4.aE"
14	34	31.331240587031	"27.4.aE"
15	34	31.590482940231	"27.4.aE"
1	35	22.359234705013	"27.4.aE"
2	35	23.176563314705	"27.4.aE"
3	35	24.788214802375	"27.4.aE"
4	35	26.095204722631	"27.4.aE"
5	35	26.144588348539	"27.4.aE"
6	35	26.889044857836	"27.4.aE"
7	35	27.230602187317	"27.4.aE"
8	35	27.830627247712	"27.4.aE"
9	35	28.451924915877	"27.4.aE"
10	35	29.266183497342	"27.4.aE"
11	35	29.719164898491	"27.4.aE"
12	35	30.300484801425	"27.4.aE"
13	35	31.166067886453	"27.4.aE"
14	35	31.454647845712	"27.4.aE"
15	35	31.607848095268	"27.4.aE"
1	36	22.319336230154	"27.4.aE"
2	36	23.716770247627	"27.4.aE"
3	36	24.74400176871	"27.4.aE"
4	36	26.088989265908	"27.4.aE"
5	36	26.373395612282	"27.4.aE"
6	36	26.849331551052	"27.4.aE"
7	36	27.158112008803	"27.4.aE"
8	36	27.919169855446	"27.4.aE"
9	36	28.546677010937	"27.4.aE"
10	36	29.082344348913	"27.4.aE"
11	36	29.492317328048	"27.4.aE"
12	36	29.76277984092	"27.4.aE"
13	36	30.516922689251	"27.4.aE"
14	36	30.769584916321	"27.4.aE"
15	36	31.000393865359	"27.4.aE"
1	37	22.642987354311	"27.4.aE"
2	37	23.809914630277	"27.4.aE"
3	37	25.386812813866	"27.4.aE"
4	37	26.42057001242	"27.4.aE"
5	37	26.693040503795	"27.4.aE"
6	37	27.172100202431	"27.4.aE"
7	37	27.827514091813	"27.4.aE"
8	37	28.145952001591	"27.4.aE"
9	37	28.917880672187	"27.4.aE"
10	37	29.408105172594	"27.4.aE"
11	37	30.006133962504	"27.4.aE"
12	37	29.243399246312	"27.4.aE"
13	37	30.827358687158	"27.4.aE"
14	37	31.080319653934	"27.4.aE"
15	37	30.986281060838	"27.4.aE"
1	38	22.189847426476	"27.4.aE"
2	38	23.828819081673	"27.4.aE"
3	38	24.849202559578	"27.4.aE"
