"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fartøynavn"	"FartøyID"	"Radiokallesignal_seddel"	"Lengdegruppe_kode"	"Lengdegruppe_bokmål"	"Bruttotonnasje1969"	"BruttotonnasjeAnnen"	"Byggeår"	"Ombyggingsår"	"Motorkraft"	"Motorbyggeår"	"FartøyGjelderFraDato"	"FartøyGjelderTilDato"	"Fartøytype_kode"	"Fartøytype_bokmål"	"Fartøykommune_kode"	"Fartøykommune"	"Fartøyfylke_kode"	"Fartøyfylke"	"Fartøynasjonalitet_kode.Fartøy"	"Fartøynasjonalitet_bokmål"
"1572835"	6	"2013"	"M 0031HØ"	2021	"20.04.2021"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"GOLLENES"	"2011055848"	"LCOH"	"5"	"28 m og over"	1427	NA	2011	NA	4160	2011	"01.01.2018"	"14.06.2022 23:59:59"	"01"	"Fiskefartøy"	1515	"HERØY i Møre og Romsdal"	15	"Møre og Romsdal"	NA	"NORGE"
"1573206"	6	"2013"	"R 0007K"	2021	"28.05.2021"	"51"	NA	"41"	"74"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1573034"	7	"2013"	"VA0095K"	2021	"20.05.2021"	"51"	NA	"41"	"74"	38.7	"NOR"	0	"PIRAJA"	"1983012873"	"LMTJ"	"5"	"28 m og over"	566	NA	1983	2011	1015	2001	"01.01.2020"	"14.11.2021 23:59:59"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1572857"	6	"2013"	"H 0030B"	2021	"24.04.2021"	"51"	NA	"08"	"06"	61.86	"NOR"	0	"LØNNINGEN"	"2009048528"	"LKLV"	"5"	"28 m og over"	1169	NA	1998	2001	4670	1998	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1572865"	5	"2013"	"M 0031HØ"	2021	"25.04.2021"	"51"	NA	"08"	"06"	62.6	"NOR"	0	"GOLLENES"	"2011055848"	"LCOH"	"5"	"28 m og over"	1427	NA	2011	NA	4160	2011	"01.01.2018"	"14.06.2022 23:59:59"	"01"	"Fiskefartøy"	1515	"HERØY i Møre og Romsdal"	15	"Møre og Romsdal"	NA	"NORGE"
"1574124"	10	"2013"	"H 0030B"	2021	"24.06.2021"	"51"	NA	"08"	"14"	61.86	"NOR"	0	"LØNNINGEN"	"2009048528"	"LKLV"	"5"	"28 m og over"	1169	NA	1998	2001	4670	1998	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1572862"	5	"2013"	"H 0020B"	2021	"25.04.2021"	"51"	NA	"08"	"06"	63.97	"NOR"	0	"TRYGVASON"	"2016074733"	"LENJ"	"5"	"28 m og over"	1520	NA	2001	2004	5800	2001	"01.01.2020"	"01.07.2021 23:59:59"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1572986"	6	"2013"	"H 0017BN"	2021	"16.05.2021"	"51"	NA	"08"	"13"	42.9	"NOR"	0	"KROSSØY"	"2011056488"	"3YMI"	"5"	"28 m og over"	906	NA	2011	NA	1800	2011	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4601	"BERGEN"	46	"Vestland"	NA	"NORGE"
"1573033"	4	"2013"	"VA0330S"	2021	"20.05.2021"	"51"	NA	"41"	"74"	40.3	"NOR"	0	"HELLEVIG 1"	"2017096693"	"LEUM"	"5"	"28 m og over"	499	NA	2001	2017	735	2001	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4204	"KRISTIANSAND"	42	"Agder"	NA	"NORGE"
"1572781"	4	"2013"	"R 0001K"	2021	"04.04.2021"	"51"	NA	"08"	"13"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"09.03.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
