"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1568501"	2	"2013"	"M 0001HØ"	2020	"08.10.2020"	"11"	NA	"42"	"32"	75.4	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568659"	1	"2013"	"TR0004O"	2020	"10.10.2020"	"11"	NA	"42"	"32"	79.95	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568765"	2	"2013"	"M 0300A"	2020	"12.10.2020"	"11"	NA	"42"	"33"	71.6	"NOR"	0	"04233"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568128"	2	"2013"	"H 0001BN"	2020	"04.10.2020"	"11"	NA	"42"	"13"	75.4	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569070"	1	"2013"	"H 0001BN"	2020	"16.10.2020"	"11"	NA	"42"	"22"	75.4	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568545"	2	"2013"	"H 0021F"	2020	"09.10.2020"	"11"	NA	"42"	"32"	69.3	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1567936"	2	"2013"	"SF0001V"	2020	"02.10.2020"	"11"	NA	"42"	"12"	56.2	"NOR"	0	"04212"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1567803"	2	"2013"	"H 0087AV"	2020	"30.09.2020"	"11"	NA	"42"	"22"	68.8	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568886"	1	"2013"	"H 0087AV"	2020	"14.10.2020"	"11"	NA	"42"	"32"	68.8	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568936"	2	"2013"	"M 0250HØ"	2020	"14.10.2020"	"11"	NA	"42"	"32"	69.95	"NOR"	0	"04232"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568303"	1	"2013"	"SF0230F"	2020	"06.10.2020"	"11"	NA	"42"	"13"	64.2	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1568128"	3	"2013"	"H 0001BN"	2020	"04.10.2020"	"11"	NA	"42"	"13"	75.4	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
