"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1569364"	3	"2013"	"N 0007BØ"	2020	"22.10.2020"	"11"	NA	"42"	"33"	34.07	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"24.10.2020"	"29.10.2020 15:04:11.203"
"1569512"	1	"2013"	"H 0058AV"	2020	"27.10.2020"	"11"	NA	"42"	"23"	71.1	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.10.2020"	"02.11.2020 13:56:21.074"
"1569512"	2	"2013"	"H 0058AV"	2020	"27.10.2020"	"11"	NA	"42"	"23"	71.1	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"28.10.2020"	"02.11.2020 13:56:21.074"
"1564758"	2	"2013"	"SF0001A"	2020	"15.06.2020"	"11"	NA	"28"	"53"	38.55	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"17.06.2020"	"18.06.2020 11:42:08.945"
"1569409"	1	"2013"	"N 0025VV"	2020	"23.10.2020"	"11"	NA	"42"	"33"	27.42	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"25.10.2020"	"29.10.2020 14:01:01.658"
"1568724"	1	"2013"	"M 0174AV"	2020	"11.10.2020"	"11"	NA	"42"	"32"	35.17	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"15.10.2020 11:36:15.355"
"1568056"	1	"2013"	"M 0065HØ"	2020	"03.10.2020"	"11"	NA	"42"	"12"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"05.10.2020"	"07.10.2020 15:08:11.676"
"1567807"	2	"2013"	"H 0069S"	2020	"30.09.2020"	"11"	NA	"42"	"22"	61.88	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"02.10.2020"	"06.10.2020 12:16:20.867"
"1568905"	1	"2013"	"M 0056MD"	2020	"14.10.2020"	"11"	NA	"42"	"32"	78.39	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.10.2020"	"19.10.2020 15:26:23.841"
"1568313"	2	"2013"	"H 0004O"	2020	"06.10.2020"	"11"	NA	"42"	"12"	59.2	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"08.10.2020"	"13.10.2020 09:16:37.554"
"1568384"	1	"2013"	"SF0002S"	2020	"07.10.2020"	"11"	NA	"28"	"04"	46	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"08.10.2020"	"13.10.2020 09:18:10.435"
"1568384"	2	"2013"	"SF0002S"	2020	"07.10.2020"	"11"	NA	"28"	"04"	46	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"08.10.2020"	"13.10.2020 09:18:10.435"
"1568675"	2	"2013"	"F 0004H"	2020	"10.10.2020"	"11"	NA	"42"	"32"	44.35	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"15.10.2020 11:34:32.431"
"1568136"	2	"2013"	"SF0002S"	2020	"04.10.2020"	"11"	NA	"42"	"13"	46	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"06.10.2020"	"07.10.2020 15:10:15.292"
"1568136"	1	"2013"	"SF0002S"	2020	"04.10.2020"	"11"	NA	"42"	"13"	46	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"06.10.2020"	"07.10.2020 15:10:15.292"
"1568549"	3	"2013"	"M 0125H"	2020	"09.10.2020"	"11"	NA	"42"	"32"	75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"11.10.2020"	"14.10.2020 13:48:24.589"
"1568550"	1	"2013"	"M 0125H"	2020	"09.10.2020"	"11"	NA	"42"	"32"	75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"11.10.2020"	"14.10.2020 13:48:25.617"
"1568674"	1	"2013"	"F 0004H"	2020	"10.10.2020"	"11"	NA	"42"	"32"	44.35	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"15.10.2020 11:34:30.942"
"1568675"	1	"2013"	"F 0004H"	2020	"10.10.2020"	"11"	NA	"42"	"32"	44.35	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"15.10.2020 11:34:32.431"
"1568225"	1	"2013"	"M 0064MD"	2020	"05.10.2020"	"11"	NA	"07"	"33"	21.94	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"06.10.2020"	"07.10.2020 11:18:26.762"
"1567974"	3	"2013"	"M 0064MD"	2020	"03.10.2020"	"11"	NA	"07"	"33"	21.94	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"03.10.2020"	"06.10.2020 14:16:02.069"
"1567966"	4	"2013"	"M 0189A"	2020	"02.10.2020"	"11"	NA	"42"	"22"	74.8	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"04.10.2020"	"06.10.2020 14:42:11.615"
"1568126"	1	"2013"	"T 0100T"	2020	"04.10.2020"	"11"	NA	"42"	"13"	44.78	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"06.10.2020"	"07.10.2020 11:18:15.086"
"1568621"	2	"2013"	"N 0346Ø"	2020	"10.10.2020"	"11"	NA	"28"	"03"	38.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"14.10.2020 13:50:19.138"
"1568621"	3	"2013"	"N 0346Ø"	2020	"10.10.2020"	"11"	NA	"28"	"03"	38.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"14.10.2020 13:50:19.138"
"1568549"	1	"2013"	"M 0125H"	2020	"09.10.2020"	"11"	NA	"42"	"32"	75	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"11.10.2020"	"14.10.2020 13:48:24.589"
"1568313"	1	"2013"	"H 0004O"	2020	"06.10.2020"	"11"	NA	"42"	"12"	59.2	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"08.10.2020"	"13.10.2020 09:16:37.554"
"1567592"	1	"2013"	"M 0006M"	2020	"29.09.2020"	"11"	NA	"07"	"31"	10.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"29.09.2020"	"01.10.2020 11:56:14.482"
