"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"KvotefartøyRegMerke"	"Kvotetype_kode"	"Kvotetype_bokmål"
"1583286"	8	"2013"	"H 0221B"	2022	"20.06.2022"	"51"	NA	"08"	"07"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1583301"	4	"2013"	"M 0023HØ"	2022	"21.06.2022"	"51"	NA	"41"	"76"	69.95	"NOR"	0	"M 0023HØ"	"01"	"Vanlig kvote"
"1582738"	3	"2013"	"M 0158SM"	2022	"25.05.2022"	"51"	NA	"41"	"93"	53.9	"NOR"	0	"M 0158SM"	"01"	"Vanlig kvote"
"1582682"	3	"2013"	"H 0221B"	2022	"22.05.2022"	"51"	NA	"41"	"65"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1582712"	7	"2013"	"R 0001K"	2022	"24.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1582520"	6	"2013"	"VA0330S"	2022	"10.05.2022"	"51"	NA	"41"	"75"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1582514"	6	"2013"	"H 0020B"	2022	"09.05.2022"	"51"	NA	"41"	"75"	63.97	"NOR"	0	"H 0020B"	"01"	"Vanlig kvote"
"1582538"	4	"2013"	"H 0001AV"	2022	"13.05.2022"	"51"	NA	"41"	"74"	67	"NOR"	0	"H 0001AV"	"01"	"Vanlig kvote"
"1582903"	4	"2013"	"H 0002F"	2022	"04.06.2022"	"51"	NA	"41"	"64"	64	"NOR"	0	"H 0002F"	"01"	"Vanlig kvote"
"1582683"	6	"2013"	"H 0004B"	2022	"22.05.2022"	"51"	NA	"41"	"76"	68.3	"NOR"	0	"H 0004B"	"01"	"Vanlig kvote"
"1583025"	7	"2013"	"VA0330S"	2022	"12.06.2022"	"51"	NA	"08"	"07"	40.3	"NOR"	0	"VA0330S"	"01"	"Vanlig kvote"
"1582948"	5	"2013"	"M 0023HØ"	2022	"07.06.2022"	"51"	NA	"41"	"64"	69.95	"NOR"	0	"M 0023HØ"	"01"	"Vanlig kvote"
