"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Produkttilstand_kode"	"Produkttilstand_bokmål"	"Konserveringsmåte_kode"	"Konserveringsmåte_bokmål"	"Landingsmåte_kode"	"Landingsmåte_bokmål"	"Kvalitet_kode"	"Kvalitet_bokmål"	"Størrelsesgruppering_kode"	"Anvendelse_kode"	"Anvendelse_bokmål"	"HovedgruppeAnvendelse_kode"	"HovedgruppeAnvendelse_bokmål"	"AntallStykk"	"Bruttovekt"	"Produktvekt"	"Rundvekt"
"1582623"	3	"2013"	"H 0175B"	2022	"20.05.2022"	"53"	NA	"08"	"09"	61.54	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3784	3784	3784
"1582635"	3	"2013"	"TF0195M"	2022	"21.05.2022"	"53"	NA	"08"	"09"	62.6	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	6800	6800	6800
"1585855"	5	"2013"	"R 0022B"	2022	"31.08.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	37778	37778	37778
"1589801"	5	"2013"	"R 0022B"	2022	"12.11.2022"	"53"	NA	"08"	"13"	42.5	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5905	5905	5905
"1583931"	2	"2013"	"SF0046V"	2022	"15.07.2022"	"53"	NA	"08"	"06"	69.65	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2000	2000	2000
"4007427"	1	"2013"	"TK0025P"	2022	"16.06.2022"	"34"	NA	"09"	"16"	10.66	"NOR"	8	"110"	"Rund"	"9"	"Iset"	"4"	"kasser/tønner"	"20"	"A"	"2300999"	"100"	"Fersk (konsum)"	"1"	"Konsum"	0	14	14	14
"243869"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	462.56	450	450
"243868"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	575.64	560	560
"10894"	19	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	0	0	0
"244483"	1	"2013"	"M 0069G"	2022	"10.09.2022"	"51"	NA	"28"	"53"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	182.4	165	165
"10803"	7	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"60"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	0	0	0
"10804"	1	"2013"	"M 0069G"	2022	"22.08.2022"	"51"	NA	"42"	"74"	66.28	"NOR"	0	"110"	"Rund"	"5"	"Frossen"	"73"	"½ blk i sekk 25 kg"	"20"	"A"	"3000000"	"200"	"Frysing"	"1"	"Konsum"	0	0	0	0
"1587355"	1	"2013"	"HM424"	2022	"22.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	"110"	"Rund"	"9"	"Iset"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	11693	11693	11693
"1587638"	1	"2013"	"HM424"	2022	"26.09.2022"	"34"	NA	"42"	"52"	NA	"DNK"	0	"110"	"Rund"	"9"	"Iset"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	9321	9321	9321
"1588427"	2	"2013"	"SF0002S"	2022	"14.10.2022"	"11"	NA	"28"	"51"	46	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	7500	7500	7500
"1589236"	1	"2013"	"VL0023ØN"	2022	"29.10.2022"	"11"	NA	"28"	"41"	14.92	"NOR"	8	"110"	"Rund"	"2"	"Fersk/ukonservert"	"1"	"i lås"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	7000	7000	7000
"1589237"	1	"2013"	"H 0038S"	2022	"29.10.2022"	"11"	NA	"28"	"41"	7	"NOR"	8	"110"	"Rund"	"2"	"Fersk/ukonservert"	"1"	"i lås"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2551	2551	2551
"1586447"	2	"2013"	"N 0053BØ"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.52	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1586312"	1	"2013"	"VL0005ØN"	2022	"30.08.2022"	"11"	NA	"28"	"40"	12.97	"NOR"	8	"110"	"Rund"	"2"	"Fersk/ukonservert"	"1"	"i lås"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	21695	21261	21261
"1586072"	1	"2013"	"H 0011F"	2022	"26.08.2022"	"11"	NA	"28"	"01"	10.66	"NOR"	8	"110"	"Rund"	"9"	"Iset"	"1"	"i lås"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	11101	11101	11101
"1586024"	1	"2013"	"VL0028AV"	2022	"02.09.2022"	"11"	NA	"28"	"41"	14.88	"NOR"	8	"110"	"Rund"	"99"	"Uspesifisert"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	31390	31390	31390
"1586448"	2	"2013"	"T 0111T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	37.9	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	6000	6000	6000
"1586557"	2	"2013"	"R 0020V"	2022	"09.09.2022"	"11"	NA	"28"	"52"	49.9	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1586515"	3	"2013"	"T 0042T"	2022	"08.09.2022"	"11"	NA	"28"	"52"	55	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1400	1400	1400
"1585981"	1	"2013"	"SF0003A"	2022	"02.09.2022"	"11"	NA	"07"	"33"	26.13	"NOR"	8	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	4268	4268	4268
"1587040"	1	"2013"	"M 0050MD"	2022	"15.09.2022"	"11"	NA	"42"	"44"	56.3	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	19000	19000	19000
"1582703"	3	"2013"	"M 0029HØ"	2022	"23.05.2022"	"11"	NA	"08"	"09"	77.5	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	5000	5000	5000
"1587993"	1	"2013"	"VL0225AV"	2022	"29.09.2022"	"11"	NA	"28"	"51"	54.27	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	149574	149574	149574
"1588033"	1	"2013"	"M 0150HØ"	2022	"30.09.2022"	"11"	NA	"28"	"51"	80.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	82682	82682	82682
"1582490"	5	"2013"	"R 0011K"	2022	"05.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	300	300	300
"1582572"	5	"2013"	"H 0005ØN"	2022	"17.05.2022"	"51"	NA	"41"	"64"	62.6	"NOR"	0	"110"	"Rund"	"22"	"Rfw og syre"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3177	3177	3177
"1589548"	1	"2013"	"TR0400V"	2022	"07.11.2022"	"53"	NA	"28"	"51"	45	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	60000	60000	60000
"1590532"	3	"2013"	"S144"	2022	"28.11.2022"	"53"	NA	"41"	"29"	NA	"DNK"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	1000	1000	1000
"1588348"	3	"2013"	"T 0042T"	2022	"12.10.2022"	"53"	NA	"08"	"55"	55	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	2600	2600	2600
"1590630"	1	"2013"	"VL0264AV"	2022	"02.12.2022"	"53"	NA	"07"	"15"	87.8	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	13733	13733	13733
"1589449"	1	"2013"	"N 0024ME"	2022	"05.11.2022"	"53"	NA	"28"	"51"	67.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	75614	75614	75614
"1586319"	2	"2013"	"M 0040HØ"	2022	"06.09.2022"	"53"	NA	"28"	"52"	70.3	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	3000	3000	3000
"1587098"	1	"2013"	"M 0022HØ"	2022	"18.09.2022"	"53"	NA	"08"	"55"	77.5	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	20024	20024	20024
"1588801"	1	"2013"	"NT0500V"	2022	"22.10.2022"	"53"	NA	"08"	"55"	68.25	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	62000	62000	62000
"1583373"	2	"2013"	"H 0002F"	2022	"23.06.2022"	"53"	NA	"08"	"06"	64	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	150	150	150
"1586695"	1	"2013"	"N 0024ME"	2022	"11.09.2022"	"53"	NA	"28"	"51"	67.4	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	80367	80367	80367
"1589869"	2	"2013"	"M 0023HØ"	2022	"13.11.2022"	"53"	NA	"42"	"06"	69.95	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	12500	12500	12500
"1587707"	2	"2013"	"T 0042T"	2022	"28.09.2022"	"53"	NA	"28"	"51"	55	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	26000	26000	26000
"1582844"	2	"2013"	"M 0070HØ"	2022	"31.05.2022"	"53"	NA	"08"	"07"	69.9	"NOR"	0	"110"	"Rund"	"11"	"Rsw"	"3"	"tank / båt"	"99"	"Uspesifisert"	"3000000"	"800"	"Mel og olje"	"2"	"Mel og olje"	0	300	300	300
