"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2021/10011/30"	"57"	"38057"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-57-38057-makrell/172414/127023/Scomber scombrus-1"	460000	998004	11.523	25	"1"	"F"
"NA/19/2021/10011/30"	"58"	"38058"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-58-38058-makrell/172414/127023/Scomber scombrus-1"	4e+05	890869	8.531	19	"1"	"F"
"NA/19/2021/10011/30"	"59"	"38059"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-59-38059-makrell/172414/127023/Scomber scombrus-1"	110000	264254	12.488	30	"1"	"F"
"NA/19/2021/10011/30"	"59"	"38059"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-59-38059-makrell/172414/127023/Scomber scombrus-2"	2.627	7	2.627	7	"1"	"F"
"NA/19/2021/10011/30"	"60"	"38060"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-60-38060-makrell/172414/127023/Scomber scombrus-1"	35000	75261	10.231	22	"1"	"F"
"NA/19/2021/10011/30"	"61"	"38061"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-61-38061-makrell/172414/127023/Scomber scombrus-1"	2e+05	503609	11.914	30	"1"	"F"
"NA/19/2021/10011/30"	"62"	"38062"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-62-38062-makrell/172414/127023/Scomber scombrus-1"	90000	237579	10.607	28	"1"	"F"
"NA/19/2021/10011/30"	"63"	"38063"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-63-38063-makrell/172414/127023/Scomber scombrus-1"	430000	1106201	15.16	39	"1"	"F"
"NA/19/2021/10011/30"	"64"	"38064"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-64-38064-makrell/172414/127023/Scomber scombrus-1"	125000	265518	12.711	27	"1"	"F"
"NA/19/2021/10011/30"	"65"	"38065"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-65-38065-makrell/172414/127023/Scomber scombrus-1"	330000	662841	10.455	21	"1"	"F"
"NA/19/2021/10011/30"	"66"	"38066"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-66-38066-makrell/172414/127023/Scomber scombrus-1"	190000	369461	9.771	19	"1"	"F"
"NA/19/2021/10011/30"	"67"	"38067"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-67-38067-makrell/172414/127023/Scomber scombrus-1"	8e+05	1734845	10.145	22	"1"	"F"
"NA/19/2021/10011/30"	"68"	"38068"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-68-38068-makrell/172414/127023/Scomber scombrus-1"	195000	466061	8.368	20	"1"	"F"
"NA/19/2021/10011/30"	"69"	"38069"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-69-38069-makrell/172414/127023/Scomber scombrus-1"	430000	933430	11.056	24	"1"	"F"
"NA/19/2021/10011/30"	"70"	"38070"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-70-38070-makrell/172414/127023/Scomber scombrus-1"	310000	814388	9.897	26	"1"	"F"
"NA/19/2021/10011/30"	"71"	"38071"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-71-38071-makrell/172414/127023/Scomber scombrus-1"	530000	1193694	7.104	16	"1"	"F"
"NA/19/2021/10011/30"	"72"	"38072"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-72-38072-makrell/172414/127023/Scomber scombrus-1"	170000	343046	12.389	25	"1"	"F"
"NA/19/2021/10011/30"	"73"	"38073"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-73-38073-makrell/172414/127023/Scomber scombrus-1"	130000	294651	11.03	25	"1"	"F"
