"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"
4	26	28.075189596235	"Transfer.area"
5	26	28.570984413231	"Transfer.area"
6	26	28.824313500004	"Transfer.area"
7	26	28.970266793199	"Transfer.area"
8	26	29.046928761178	"Transfer.area"
9	26	29.08862738541	"Transfer.area"
10	26	29.114582701892	"Transfer.area"
11	26	0	"Transfer.area"
12	26	0	"Transfer.area"
13	26	0	"Transfer.area"
14	26	29.141535890884	"Transfer.area"
15	26	29.142196383873	"Transfer.area"
1	27	22.56978982822	"Transfer.area"
2	27	25.592498999421	"Transfer.area"
3	27	27.172550763109	"Transfer.area"
4	27	27.944425218496	"Transfer.area"
5	27	28.361261280553	"Transfer.area"
6	27	28.381769211242	"Transfer.area"
7	27	28.890681158702	"Transfer.area"
8	27	28.617801198269	"Transfer.area"
9	27	28.89804778935	"Transfer.area"
10	27	28.891943634014	"Transfer.area"
11	27	0	"Transfer.area"
12	27	0	"Transfer.area"
13	27	0	"Transfer.area"
14	27	29.165523789194	"Transfer.area"
15	27	29.025748878632	"Transfer.area"
1	28	21.883065185875	"Transfer.area"
2	28	25.024377395549	"Transfer.area"
3	28	26.600557847367	"Transfer.area"
4	28	27.549439686458	"Transfer.area"
5	28	27.982128878644	"Transfer.area"
6	28	28.181207295749	"Transfer.area"
7	28	28.606962325246	"Transfer.area"
8	28	28.806785717107	"Transfer.area"
9	28	28.510938308565	"Transfer.area"
10	28	28.158171474307	"Transfer.area"
11	28	29.178942687327	"Transfer.area"
12	28	0	"Transfer.area"
13	28	28.276580039967	"Transfer.area"
14	28	28.19543702495	"Transfer.area"
15	28	28.573769631967	"Transfer.area"
1	29	21.773559893662	"Transfer.area"
2	29	24.868768198561	"Transfer.area"
3	29	26.49384445152	"Transfer.area"
4	29	27.341721916421	"Transfer.area"
5	29	27.652487781735	"Transfer.area"
6	29	27.980740532185	"Transfer.area"
7	29	28.081090483128	"Transfer.area"
8	29	28.071402057128	"Transfer.area"
9	29	28.200608696053	"Transfer.area"
10	29	28.028508635825	"Transfer.area"
11	29	27.874395879425	"Transfer.area"
12	29	28.158853237709	"Transfer.area"
13	29	0	"Transfer.area"
14	29	28.044211962545	"Transfer.area"
15	29	28.319338676729	"Transfer.area"
1	30	22.333260550136	"Transfer.area"
2	30	25.389303980123	"Transfer.area"
3	30	27.128655625269	"Transfer.area"
4	30	27.840391976584	"Transfer.area"
5	30	28.375482758978	"Transfer.area"
6	30	28.556742957822	"Transfer.area"
7	30	28.629507339754	"Transfer.area"
8	30	28.58700787537	"Transfer.area"
9	30	28.735090393261	"Transfer.area"
10	30	28.862502261904	"Transfer.area"
11	30	29.043116164063	"Transfer.area"
12	30	28.230381606469	"Transfer.area"
13	30	0	"Transfer.area"
14	30	28.988178988729	"Transfer.area"
15	30	28.77762639111	"Transfer.area"
1	31	22.13605714951	"Transfer.area"
2	31	25.404816155261	"Transfer.area"
3	31	27.013523111127	"Transfer.area"
4	31	27.877258849416	"Transfer.area"
5	31	28.330639376934	"Transfer.area"
6	31	28.5474894926	"Transfer.area"
7	31	28.64774153597	"Transfer.area"
8	31	28.673043686271	"Transfer.area"
9	31	28.739916717522	"Transfer.area"
10	31	28.772236771611	"Transfer.area"
11	31	28.76460789576	"Transfer.area"
12	31	28.776222883905	"Transfer.area"
13	31	0	"Transfer.area"
14	31	28.76735930762	"Transfer.area"
15	31	28.87394465127	"Transfer.area"
1	32	21.925990565104	"Transfer.area"
2	32	25.188280411655	"Transfer.area"
3	32	26.886734484414	"Transfer.area"
4	32	27.766215555069	"Transfer.area"
5	32	28.212934983325	"Transfer.area"
6	32	28.44160066798	"Transfer.area"
7	32	28.591967113787	"Transfer.area"
8	32	28.658154319906	"Transfer.area"
9	32	28.660239679584	"Transfer.area"
10	32	28.693514526265	"Transfer.area"
11	32	28.679161616513	"Transfer.area"
12	32	28.719533203942	"Transfer.area"
13	32	0	"Transfer.area"
14	32	28.702667049521	"Transfer.area"
15	32	28.696870363487	"Transfer.area"
1	33	21.71333538674	"Transfer.area"
2	33	25.111460741935	"Transfer.area"
3	33	26.627310541775	"Transfer.area"
4	33	27.397998697446	"Transfer.area"
5	33	27.954575395275	"Transfer.area"
6	33	28.175174632062	"Transfer.area"
7	33	28.369157333569	"Transfer.area"
8	33	0	"Transfer.area"
9	33	28.594265255127	"Transfer.area"
10	33	28.461710055091	"Transfer.area"
11	33	28.719686605478	"Transfer.area"
12	33	28.421373829763	"Transfer.area"
13	33	0	"Transfer.area"
14	33	28.48590208126	"Transfer.area"
15	33	28.435892488952	"Transfer.area"
1	34	21.684269990449	"Transfer.area"
2	34	24.694761634947	"Transfer.area"
3	34	26.319280260236	"Transfer.area"
4	34	27.1403924119	"Transfer.area"
5	34	27.617729331135	"Transfer.area"
6	34	27.852734916109	"Transfer.area"
7	34	28.008199900689	"Transfer.area"
8	34	28.078766314258	"Transfer.area"
9	34	28.132106951138	"Transfer.area"
10	34	28.15262696316	"Transfer.area"
11	34	28.201334085891	"Transfer.area"
12	34	28.155737121287	"Transfer.area"
13	34	0	"Transfer.area"
14	34	28.158266338249	"Transfer.area"
15	34	28.159349439457	"Transfer.area"
1	35	22.742151973042	"Transfer.area"
2	35	26.087706042036	"Transfer.area"
3	35	27.816839445744	"Transfer.area"
4	35	28.706883033165	"Transfer.area"
5	35	29.178880239493	"Transfer.area"
6	35	29.434043627799	"Transfer.area"
7	35	29.569751254463	"Transfer.area"
8	35	29.652097432182	"Transfer.area"
9	35	29.679945759617	"Transfer.area"
10	35	29.699714069492	"Transfer.area"
11	35	0	"Transfer.area"
12	35	29.720931274934	"Transfer.area"
13	35	0	"Transfer.area"
14	35	29.722795412724	"Transfer.area"
15	35	29.7281019251	"Transfer.area"
1	36	22.40484945513	"Transfer.area"
2	36	25.566044539885	"Transfer.area"
3	36	27.168483187713	"Transfer.area"
4	36	28.066966356959	"Transfer.area"
5	36	28.500897205142	"Transfer.area"
6	36	28.798398373229	"Transfer.area"
7	36	28.892861392239	"Transfer.area"
8	36	28.705600010644	"Transfer.area"
9	36	29.02981259581	"Transfer.area"
10	36	29.068486359481	"Transfer.area"
11	36	0	"Transfer.area"
12	36	0	"Transfer.area"
13	36	0	"Transfer.area"
14	36	29.100194496059	"Transfer.area"
15	36	28.949656587274	"Transfer.area"
1	37	22.303600552002	"Transfer.area"
2	37	25.149149286584	"Transfer.area"
3	37	26.938003793146	"Transfer.area"
4	37	27.7334962107	"Transfer.area"
5	37	28.127334664324	"Transfer.area"
6	37	28.380166328284	"Transfer.area"
7	37	28.625895123219	"Transfer.area"
8	37	28.322968625705	"Transfer.area"
9	37	28.578939520893	"Transfer.area"
10	37	28.753113904682	"Transfer.area"
11	37	0	"Transfer.area"
12	37	0	"Transfer.area"
13	37	0	"Transfer.area"
14	37	28.505616381956	"Transfer.area"
15	37	28.463302023538	"Transfer.area"
1	38	22.702968872545	"Transfer.area"
2	38	25.752294460789	"Transfer.area"
3	38	27.385268744111	"Transfer.area"
4	38	27.961809646593	"Transfer.area"
5	38	28.564681406401	"Transfer.area"
6	38	28.927168691752	"Transfer.area"
7	38	28.869319233085	"Transfer.area"
8	38	28.82412975704	"Transfer.area"
9	38	28.94363153194	"Transfer.area"
10	38	29.097638774295	"Transfer.area"
11	38	0	"Transfer.area"
12	38	0	"Transfer.area"
13	38	0	"Transfer.area"
14	38	28.817897124634	"Transfer.area"
15	38	29.390162744866	"Transfer.area"
1	39	21.848558856025	"Transfer.area"
2	39	25.380098999278	"Transfer.area"
3	39	27.155440358896	"Transfer.area"
4	39	28.020134976537	"Transfer.area"
5	39	28.563727488465	"Transfer.area"
6	39	28.671124083865	"Transfer.area"
7	39	28.888334010709	"Transfer.area"
8	39	28.817155274888	"Transfer.area"
9	39	28.903052916759	"Transfer.area"
10	39	29.024700021437	"Transfer.area"
11	39	0	"Transfer.area"
12	39	0	"Transfer.area"
13	39	0	"Transfer.area"
14	39	28.755658991821	"Transfer.area"
15	39	28.997394855432	"Transfer.area"
1	40	22.515954998787	"Transfer.area"
2	40	25.798494649358	"Transfer.area"
3	40	27.456774704457	"Transfer.area"
4	40	28.320875166199	"Transfer.area"
5	40	28.767855525125	"Transfer.area"
6	40	29.001701151907	"Transfer.area"
7	40	29.151159434413	"Transfer.area"
8	40	29.221619827204	"Transfer.area"
9	40	29.25954055585	"Transfer.area"
10	40	29.250311982272	"Transfer.area"
11	40	0	"Transfer.area"
12	40	0	"Transfer.area"
13	40	0	"Transfer.area"
14	40	29.30683641724	"Transfer.area"
15	40	29.407179388432	"Transfer.area"
1	41	22.596283689617	"Transfer.area"
2	41	25.79093802829	"Transfer.area"
3	41	27.645553256241	"Transfer.area"
4	41	28.340296190949	"Transfer.area"
5	41	28.851305351446	"Transfer.area"
6	41	29.274398378276	"Transfer.area"
7	41	29.421648745461	"Transfer.area"
8	41	29.36879600992	"Transfer.area"
9	41	29.569955690257	"Transfer.area"
10	41	29.539060609968	"Transfer.area"
11	41	0	"Transfer.area"
12	41	0	"Transfer.area"
13	41	0	"Transfer.area"
14	41	29.450296572168	"Transfer.area"
15	41	29.173653623338	"Transfer.area"
1	42	21.833755113757	"Transfer.area"
2	42	25.439831919414	"Transfer.area"
3	42	27.113643683209	"Transfer.area"
4	42	27.906587206619	"Transfer.area"
5	42	28.387670776421	"Transfer.area"
6	42	28.625662798736	"Transfer.area"
7	42	28.757335427139	"Transfer.area"
8	42	28.829009841119	"Transfer.area"
9	42	28.856303880906	"Transfer.area"
10	42	28.864740821522	"Transfer.area"
11	42	0	"Transfer.area"
12	42	0	"Transfer.area"
13	42	0	"Transfer.area"
14	42	28.912311403413	"Transfer.area"
15	42	28.897890094864	"Transfer.area"
1	43	21.506250168395	"Transfer.area"
2	43	24.893926703883	"Transfer.area"
3	43	26.531626441182	"Transfer.area"
4	43	27.296575065429	"Transfer.area"
5	43	27.942318533531	"Transfer.area"
6	43	28.059942339959	"Transfer.area"
7	43	28.203790506251	"Transfer.area"
8	43	28.361661246882	"Transfer.area"
9	43	28.338606162927	"Transfer.area"
10	43	28.268478950225	"Transfer.area"
11	43	0	"Transfer.area"
12	43	0	"Transfer.area"
13	43	0	"Transfer.area"
14	43	0	"Transfer.area"
15	43	28.655077639302	"Transfer.area"
1	44	23.108535821776	"Transfer.area"
2	44	26.514514141567	"Transfer.area"
3	44	28.219712272387	"Transfer.area"
4	44	29.101880594891	"Transfer.area"
5	44	29.603249322094	"Transfer.area"
6	44	29.849351106774	"Transfer.area"
