"CruiseKey"	"StationKey"	"HaulKey"	"Haul"	"Gear"	"TowDistance"	"EffectiveTowDistance"	"MinHaulDepth"	"MaxHaulDepth"	"VerticalNetOpening"	"HorizontalNetOpening"	"TrawlDoorSpread"
"NA/19/2020/9000/10"	"98"	"39082"	"NA/19/2020/9000/10-98-39082"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"99"	"39099"	"NA/19/2020/9000/10-99-39099"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"100"	"39100"	"NA/19/2020/9000/10-100-39100"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"101"	"39101"	"NA/19/2020/9000/10-101-39101"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"102"	"39102"	"NA/19/2020/9000/10-102-39102"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"103"	"39103"	"NA/19/2020/9000/10-103-39103"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"104"	"39104"	"NA/19/2020/9000/10-104-39104"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"105"	"39105"	"NA/19/2020/9000/10-105-39105"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"106"	"39106"	"NA/19/2020/9000/10-106-39106"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"107"	"39107"	"NA/19/2020/9000/10-107-39107"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"108"	"39108"	"NA/19/2020/9000/10-108-39108"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"109"	"39109"	"NA/19/2020/9000/10-109-39109"	"3600"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"110"	"39110"	"NA/19/2020/9000/10-110-39110"	"3600"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"111"	"39111"	"NA/19/2020/9000/10-111-39111"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"112"	"39112"	"NA/19/2020/9000/10-112-39112"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"113"	"39113"	"NA/19/2020/9000/10-113-39113"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"114"	"39114"	"NA/19/2020/9000/10-114-39114"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"115"	"39115"	"NA/19/2020/9000/10-115-39115"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"116"	"39116"	"NA/19/2020/9000/10-116-39116"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"117"	"39117"	"NA/19/2020/9000/10-117-39117"	"3600"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2020/9000/10"	"118"	"39118"	"NA/19/2020/9000/10-118-39118"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"1"	"39001"	"NA/19/2021/10024/10-1-39001"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"2"	"39002"	"NA/19/2021/10024/10-2-39002"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"3"	"39003"	"NA/19/2021/10024/10-3-39003"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"4"	"39004"	"NA/19/2021/10024/10-4-39004"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"5"	"39005"	"NA/19/2021/10024/10-5-39005"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"6"	"39006"	"NA/19/2021/10024/10-6-39006"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"7"	"39007"	"NA/19/2021/10024/10-7-39007"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"8"	"39008"	"NA/19/2021/10024/10-8-39008"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"9"	"39009"	"NA/19/2021/10024/10-9-39009"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"10"	"39010"	"NA/19/2021/10024/10-10-39010"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"11"	"39011"	"NA/19/2021/10024/10-11-39011"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"12"	"39012"	"NA/19/2021/10024/10-12-39012"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"13"	"39013"	"NA/19/2021/10024/10-13-39013"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"14"	"39014"	"NA/19/2021/10024/10-14-39014"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"15"	"39015"	"NA/19/2021/10024/10-15-39015"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"16"	"39016"	"NA/19/2021/10024/10-16-39016"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"17"	"39017"	"NA/19/2021/10024/10-17-39017"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"18"	"39018"	"NA/19/2021/10024/10-18-39018"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"19"	"39019"	"NA/19/2021/10024/10-19-39019"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"20"	"39020"	"NA/19/2021/10024/10-20-39020"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"21"	"39021"	"NA/19/2021/10024/10-21-39021"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"22"	"39022"	"NA/19/2021/10024/10-22-39022"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"23"	"39023"	"NA/19/2021/10024/10-23-39023"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"24"	"39024"	"NA/19/2021/10024/10-24-39024"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"25"	"39025"	"NA/19/2021/10024/10-25-39025"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"26"	"39026"	"NA/19/2021/10024/10-26-39026"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"27"	"39027"	"NA/19/2021/10024/10-27-39027"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"28"	"39028"	"NA/19/2021/10024/10-28-39028"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"29"	"39029"	"NA/19/2021/10024/10-29-39029"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"30"	"39030"	"NA/19/2021/10024/10-30-39030"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"32"	"39032"	"NA/19/2021/10024/10-32-39032"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"33"	"39033"	"NA/19/2021/10024/10-33-39033"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"35"	"39035"	"NA/19/2021/10024/10-35-39035"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"36"	"39036"	"NA/19/2021/10024/10-36-39036"	"3600"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"37"	"39037"	"NA/19/2021/10024/10-37-39037"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"38"	"39038"	"NA/19/2021/10024/10-38-39038"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"39"	"39039"	"NA/19/2021/10024/10-39-39039"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"40"	"39040"	"NA/19/2021/10024/10-40-39040"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"41"	"39041"	"NA/19/2021/10024/10-41-39041"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"42"	"39042"	"NA/19/2021/10024/10-42-39042"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"43"	"39043"	"NA/19/2021/10024/10-43-39043"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"45"	"39045"	"NA/19/2021/10024/10-45-39045"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"46"	"39046"	"NA/19/2021/10024/10-46-39046"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"47"	"39047"	"NA/19/2021/10024/10-47-39047"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"48"	"39048"	"NA/19/2021/10024/10-48-39048"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"49"	"39049"	"NA/19/2021/10024/10-49-39049"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"50"	"39050"	"NA/19/2021/10024/10-50-39050"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"51"	"39051"	"NA/19/2021/10024/10-51-39051"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"52"	"39052"	"NA/19/2021/10024/10-52-39052"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"53"	"39053"	"NA/19/2021/10024/10-53-39053"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"54"	"39054"	"NA/19/2021/10024/10-54-39054"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"55"	"39055"	"NA/19/2021/10024/10-55-39055"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"56"	"39056"	"NA/19/2021/10024/10-56-39056"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"57"	"39057"	"NA/19/2021/10024/10-57-39057"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"58"	"39058"	"NA/19/2021/10024/10-58-39058"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"59"	"39059"	"NA/19/2021/10024/10-59-39059"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"60"	"39060"	"NA/19/2021/10024/10-60-39060"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"61"	"39061"	"NA/19/2021/10024/10-61-39061"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"62"	"39062"	"NA/19/2021/10024/10-62-39062"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"63"	"39063"	"NA/19/2021/10024/10-63-39063"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"64"	"39064"	"NA/19/2021/10024/10-64-39064"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"65"	"39065"	"NA/19/2021/10024/10-65-39065"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"66"	"39066"	"NA/19/2021/10024/10-66-39066"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"67"	"39067"	"NA/19/2021/10024/10-67-39067"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"68"	"39068"	"NA/19/2021/10024/10-68-39068"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"69"	"39069"	"NA/19/2021/10024/10-69-39069"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"70"	"39070"	"NA/19/2021/10024/10-70-39070"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"71"	"39071"	"NA/19/2021/10024/10-71-39071"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"72"	"39072"	"NA/19/2021/10024/10-72-39072"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"73"	"39073"	"NA/19/2021/10024/10-73-39073"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"74"	"39074"	"NA/19/2021/10024/10-74-39074"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"75"	"39075"	"NA/19/2021/10024/10-75-39075"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"76"	"39076"	"NA/19/2021/10024/10-76-39076"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"77"	"39077"	"NA/19/2021/10024/10-77-39077"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"78"	"39078"	"NA/19/2021/10024/10-78-39078"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"79"	"39079"	"NA/19/2021/10024/10-79-39079"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"80"	"39080"	"NA/19/2021/10024/10-80-39080"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"81"	"39081"	"NA/19/2021/10024/10-81-39081"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"82"	"39082"	"NA/19/2021/10024/10-82-39082"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2021/10024/10"	"85"	"39085"	"NA/19/2021/10024/10-85-39085"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"0"	"39100"	"NA/19/2022/10024/10-0-39100"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"1"	"39001"	"NA/19/2022/10024/10-1-39001"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"3"	"39003"	"NA/19/2022/10024/10-3-39003"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"4"	"39004"	"NA/19/2022/10024/10-4-39004"	"3500"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"5"	"39005"	"NA/19/2022/10024/10-5-39005"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"6"	"39006"	"NA/19/2022/10024/10-6-39006"	"3100"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"7"	"39007"	"NA/19/2022/10024/10-7-39007"	"3200"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"8"	"39008"	"NA/19/2022/10024/10-8-39008"	"3700"	NA	NA	NA	NA	NA	NA	NA
"NA/19/2022/10024/10"	"9"	"39009"	"NA/19/2022/10024/10-9-39009"	"3700"	NA	NA	NA	NA	NA	NA	NA
