"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
3	26	27.2745227096	"27.4.aE"	"Q4"
4	26	28.0603810214	"27.4.aE"	"Q4"
5	26	28.51850002566	"27.4.aE"	"Q4"
6	26	28.788377290301	"27.4.aE"	"Q4"
7	26	28.948301986757	"27.4.aE"	"Q4"
8	26	29.043393632163	"27.4.aE"	"Q4"
9	26	29.100048086098	"27.4.aE"	"Q4"
10	26	29.133841826486	"27.4.aE"	"Q4"
11	26	29.154013470993	"27.4.aE"	"Q4"
12	26	29.166059017815	"27.4.aE"	"Q4"
13	26	29.173253824241	"27.4.aE"	"Q4"
1	27	22.994264141543	"27.4.aE"	"Q4"
2	27	25.404460743151	"27.4.aE"	"Q4"
3	27	26.738106192415	"27.4.aE"	"Q4"
4	27	27.507269609915	"27.4.aE"	"Q4"
5	27	27.960043575489	"27.4.aE"	"Q4"
6	27	28.229539785353	"27.4.aE"	"Q4"
7	27	28.390957813696	"27.4.aE"	"Q4"
8	27	28.487995484812	"27.4.aE"	"Q4"
9	27	28.546456745918	"27.4.aE"	"Q4"
10	27	28.581722762945	"27.4.aE"	"Q4"
11	27	28.603013010213	"27.4.aE"	"Q4"
12	27	28.615872008927	"27.4.aE"	"Q4"
13	27	28.623640835659	"27.4.aE"	"Q4"
1	28	23.201310220349	"27.4.aE"	"Q4"
2	28	25.691308134801	"27.4.aE"	"Q4"
3	28	27.04463011536	"27.4.aE"	"Q4"
4	28	27.809010468637	"27.4.aE"	"Q4"
5	28	28.248901350469	"27.4.aE"	"Q4"
6	28	28.504583865012	"27.4.aE"	"Q4"
7	28	28.654021456869	"27.4.aE"	"Q4"
8	28	28.741638383571	"27.4.aE"	"Q4"
9	28	28.79310283822	"27.4.aE"	"Q4"
10	28	28.823364134683	"27.4.aE"	"Q4"
11	28	28.841168942368	"27.4.aE"	"Q4"
12	28	28.851648554417	"27.4.aE"	"Q4"
13	28	28.857817998826	"27.4.aE"	"Q4"
1	29	23.212851970908	"27.4.aE"	"Q4"
2	29	25.734664850657	"27.4.aE"	"Q4"
3	29	27.117525727011	"27.4.aE"	"Q4"
4	29	27.905928826097	"27.4.aE"	"Q4"
5	29	28.364063547231	"27.4.aE"	"Q4"
6	29	28.633012499287	"27.4.aE"	"Q4"
7	29	28.791805530484	"27.4.aE"	"Q4"
8	29	28.885869183892	"27.4.aE"	"Q4"
9	29	28.941696356731	"27.4.aE"	"Q4"
10	29	28.974867432833	"27.4.aE"	"Q4"
11	29	28.994589986443	"27.4.aE"	"Q4"
12	29	29.006321077424	"27.4.aE"	"Q4"
13	29	0	"27.4.aE"	"Q4"
1	30	23.205427510392	"27.4.aE"	"Q4"
2	30	25.68092412617	"27.4.aE"	"Q4"
3	30	27.050182545491	"27.4.aE"	"Q4"
4	30	27.838974478849	"27.4.aE"	"Q4"
5	30	28.302578904076	"27.4.aE"	"Q4"
6	30	28.578026301351	"27.4.aE"	"Q4"
7	30	28.742689072303	"27.4.aE"	"Q4"
8	30	28.841476551687	"27.4.aE"	"Q4"
9	30	28.900867866023	"27.4.aE"	"Q4"
10	30	28.936618884554	"27.4.aE"	"Q4"
11	30	28.958155612103	"27.4.aE"	"Q4"
12	30	28.971135369884	"27.4.aE"	"Q4"
13	30	28.978960130918	"27.4.aE"	"Q4"
1	31	23.309532543585	"27.4.aE"	"Q4"
2	31	25.90853552714	"27.4.aE"	"Q4"
3	31	27.33524858774	"27.4.aE"	"Q4"
4	31	28.14869845491	"27.4.aE"	"Q4"
5	31	28.621174778418	"27.4.aE"	"Q4"
6	31	28.898340852361	"27.4.aE"	"Q4"
7	31	29.061839853097	"27.4.aE"	"Q4"
8	31	29.158595750865	"27.4.aE"	"Q4"
9	31	29.215960904418	"27.4.aE"	"Q4"
10	31	29.250009076169	"27.4.aE"	"Q4"
11	31	29.270230875819	"27.4.aE"	"Q4"
12	31	29.282245544407	"27.4.aE"	"Q4"
13	31	29.289385610332	"27.4.aE"	"Q4"
1	32	22.995420831747	"27.4.aE"	"Q4"
2	32	25.512285969098	"27.4.aE"	"Q4"
3	32	26.887862154073	"27.4.aE"	"Q4"
4	32	27.668977314727	"27.4.aE"	"Q4"
5	32	28.120885620131	"27.4.aE"	"Q4"
6	32	28.384950672288	"27.4.aE"	"Q4"
7	32	28.540113335578	"27.4.aE"	"Q4"
8	32	28.631576576801	"27.4.aE"	"Q4"
9	32	28.685590907599	"27.4.aE"	"Q4"
10	32	28.71752403696	"27.4.aE"	"Q4"
11	32	28.736414839995	"27.4.aE"	"Q4"
12	32	28.747594340593	"27.4.aE"	"Q4"
13	32	28.754211791084	"27.4.aE"	"Q4"
1	33	22.587280270438	"27.4.aE"	"Q4"
2	33	25.096593389594	"27.4.aE"	"Q4"
3	33	26.449496427306	"27.4.aE"	"Q4"
4	33	27.205716676743	"27.4.aE"	"Q4"
5	33	27.635837788287	"27.4.aE"	"Q4"
6	33	27.882733746732	"27.4.aE"	"Q4"
7	33	28.025172116294	"27.4.aE"	"Q4"
8	33	28.107580870576	"27.4.aE"	"Q4"
9	33	28.155336385929	"27.4.aE"	"Q4"
10	33	28.183036297415	"27.4.aE"	"Q4"
