"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
9	27	27.810404762006	"27.4.aE"
10	27	28.006351617298	"27.4.aE"
11	27	28.326530856224	"27.4.aE"
12	27	28.20343150971	"27.4.aE"
13	27	28.640981770237	"27.4.aE"
14	27	28.542520820933	"27.4.aE"
15	27	28.750723183504	"27.4.aE"
1	28	20.321976292735	"27.4.aE"
2	28	23.26559034954	"27.4.aE"
3	28	25.408126528308	"27.4.aE"
4	28	26.662867934299	"27.4.aE"
5	28	27.099680175935	"27.4.aE"
6	28	27.461525060821	"27.4.aE"
7	28	27.542666893958	"27.4.aE"
8	28	27.807285772218	"27.4.aE"
9	28	27.985134461715	"27.4.aE"
10	28	28.685556808459	"27.4.aE"
11	28	28.405167512177	"27.4.aE"
12	28	28.415120961261	"27.4.aE"
13	28	29.15131020582	"27.4.aE"
14	28	29.110526273662	"27.4.aE"
15	28	29.15435267881	"27.4.aE"
1	29	20.24165497383	"27.4.aE"
2	29	23.279771457312	"27.4.aE"
3	29	25.482265993093	"27.4.aE"
4	29	26.765887526321	"27.4.aE"
5	29	27.144099521449	"27.4.aE"
6	29	27.437635007318	"27.4.aE"
7	29	27.926516029884	"27.4.aE"
8	29	28.015868284253	"27.4.aE"
9	29	28.009138732163	"27.4.aE"
10	29	28.736022087263	"27.4.aE"
11	29	28.3276814081	"27.4.aE"
12	29	28.445562425611	"27.4.aE"
13	29	29.072017701258	"27.4.aE"
14	29	29.040067622902	"27.4.aE"
15	29	29.08423504124	"27.4.aE"
1	30	20.883919521281	"27.4.aE"
2	30	23.360223321334	"27.4.aE"
3	30	25.520685443407	"27.4.aE"
4	30	26.870684402814	"27.4.aE"
5	30	27.054888400741	"27.4.aE"
6	30	27.409403909049	"27.4.aE"
7	30	27.940147429349	"27.4.aE"
8	30	27.754436954961	"27.4.aE"
9	30	28.085922868795	"27.4.aE"
10	30	28.092587154336	"27.4.aE"
11	30	28.480304715266	"27.4.aE"
12	30	27.560530269936	"27.4.aE"
13	30	29.010069002129	"27.4.aE"
14	30	28.503666762847	"27.4.aE"
15	30	28.93985101035	"27.4.aE"
1	31	20.333379412783	"27.4.aE"
2	31	23.217537875764	"27.4.aE"
3	31	25.086847682308	"27.4.aE"
4	31	26.848962749168	"27.4.aE"
5	31	27.194864230376	"27.4.aE"
6	31	27.481617517398	"27.4.aE"
7	31	27.727143836808	"27.4.aE"
8	31	27.825930027479	"27.4.aE"
9	31	27.805992715807	"27.4.aE"
10	31	28.11128429197	"27.4.aE"
11	31	28.126963164169	"27.4.aE"
12	31	27.894569451776	"27.4.aE"
13	31	28.982896707138	"27.4.aE"
14	31	29.047211146483	"27.4.aE"
15	31	29.04448562335	"27.4.aE"
1	32	21.29053682497	"27.4.aE"
2	32	23.43310409419	"27.4.aE"
3	32	25.700182967826	"27.4.aE"
4	32	26.884779626883	"27.4.aE"
5	32	27.260463620628	"27.4.aE"
6	32	27.592483046764	"27.4.aE"
7	32	27.859052956079	"27.4.aE"
8	32	27.880455323905	"27.4.aE"
9	32	27.966170488088	"27.4.aE"
10	32	28.419132047652	"27.4.aE"
11	32	28.781663982101	"27.4.aE"
12	32	28.852421935539	"27.4.aE"
13	32	28.968119203269	"27.4.aE"
14	32	29.082615412247	"27.4.aE"
15	32	29.099104543036	"27.4.aE"
1	33	21.02403361426	"27.4.aE"
2	33	23.734615773313	"27.4.aE"
3	33	25.749204020661	"27.4.aE"
4	33	26.927068661258	"27.4.aE"
5	33	27.431882901611	"27.4.aE"
6	33	27.390471178436	"27.4.aE"
7	33	27.908375188363	"27.4.aE"
8	33	27.956363545924	"27.4.aE"
9	33	28.291477158514	"27.4.aE"
10	33	28.345644036007	"27.4.aE"
11	33	28.860934716735	"27.4.aE"
12	33	28.702274892473	"27.4.aE"
13	33	29.03629896081	"27.4.aE"
14	33	29.111948572333	"27.4.aE"
15	33	29.13635294149	"27.4.aE"
1	34	20.006923547109	"27.4.aE"
2	34	23.521372821695	"27.4.aE"
3	34	25.750995559587	"27.4.aE"
4	34	26.951444738891	"27.4.aE"
5	34	27.209199081835	"27.4.aE"
6	34	27.268283233115	"27.4.aE"
7	34	27.682811277946	"27.4.aE"
8	34	27.945998084939	"27.4.aE"
9	34	28.021024237721	"27.4.aE"
10	34	28.360914990975	"27.4.aE"
11	34	29.084083215883	"27.4.aE"
12	34	28.720522854015	"27.4.aE"
13	34	28.849313883338	"27.4.aE"
14	34	29.128339223418	"27.4.aE"
15	34	29.128570659356	"27.4.aE"
1	35	20.381332974654	"27.4.aE"
2	35	23.343626087342	"27.4.aE"
3	35	25.464986888089	"27.4.aE"
4	35	26.711054091506	"27.4.aE"
5	35	26.914231100635	"27.4.aE"
6	35	26.950124862034	"27.4.aE"
7	35	27.37020822695	"27.4.aE"
8	35	27.437205322456	"27.4.aE"
9	35	27.589450979368	"27.4.aE"
10	35	27.713309563637	"27.4.aE"
11	35	27.843666294814	"27.4.aE"
12	35	28.091516923931	"27.4.aE"
13	35	27.954327391791	"27.4.aE"
14	35	28.507728495351	"27.4.aE"
15	35	28.499042787478	"27.4.aE"
1	36	20.316500853181	"27.4.aE"
2	36	23.502463833577	"27.4.aE"
3	36	25.45827253092	"27.4.aE"
4	36	26.907997759221	"27.4.aE"
5	36	27.295024111622	"27.4.aE"
6	36	27.490895852874	"27.4.aE"
7	36	27.512187614983	"27.4.aE"
8	36	27.972504000918	"27.4.aE"
9	36	28.002786807033	"27.4.aE"
10	36	28.391195114973	"27.4.aE"
11	36	27.824666431347	"27.4.aE"
12	36	28.02096076199	"27.4.aE"
13	36	28.786064142475	"27.4.aE"
